State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Computer,sex_ratio,literacy_rate
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,1166,40260,8419,327322,597392,1688,431,57,724,19,45444,12084,105.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,1192,44225,325560,655052,13475,8711,297,911,167,6315,28195,10410,105.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,8817,58876,102871,1198401,64526,52968,2261,4673,1055,46,136685,34479,104.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,1364,45094,231570,347878,579929,77862,771,194,477,103,78641,13524,104.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,3073,62298,111765,917426,90312,50582,1131,3863,530,1347,82345,17636,104.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,1211,70659,691,251194,397653,8480,84,490,247,636,44143,10615,105.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,5651,88665,139971,1008219,54684,21051,1540,2378,719,578,122063,26357,104.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,3109,107827,182038,877495,601784,33297,319,185,1330,55,122191,23468,105.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,1923,44961,538738,766000,20290,157789,370,6260,397,3568,53918,11340,105.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,1933,157890,1940,521962,692489,11990,114,446,524,110,70951,24699,104.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,1218,29570,278665,529068,252271,101091,93,1718,396,123,41373,14063,104.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,1948,81840,249426,797130,193476,46217,412,1074,250,2410,60296,15011,103.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,5121,266350,115153,1225246,1563203,26844,3036,1073,1162,61,195631,45956,104.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,1631,60216,23364,491582,277488,429,62,27,1004,9,68313,12360,105.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,4358,109130,232207,1422824,350536,138166,1363,5088,1003,221,133368,31254,105.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,5135,37688,82066,1181347,48373,76877,1999,16228,837,395,161718,27948,105.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,2561,382654,38848,1593525,1207442,4116,371,187,1910,63,43290,29796,109.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,2362,612064,1033,2291133,237353,2218,295,334,775,19,44456,31168,108.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,23258,539368,143366,2545438,786677,15991,5142,309093,30981,1005,589477,69937,108.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,2362,612064,1033,2291133,237353,2218,295,334,775,19,44456,31168,108.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,23258,539368,143366,2545438,786677,15991,5142,309093,30981,1005,589477,69937,108.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,1704,247858,90432,1772655,250925,6138,139,113,94,1035,62359,22300,110.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,4644,432270,1597,2554330,407348,2209,402,229,276,57,120373,43127,112.0,52.0
